fdate,order_date,airline,class,subclass,prc
2017-12-06,2017-11-22,MU,Y,S,3956.0
2017-12-06,2017-11-27,MU,Y,S,4246.0
2017-12-06,2017-11-30,MU,Y,S,6457.0
2017-12-06,2017-12-04,MU,Y,S,4021.0
2017-12-06,2017-08-02,MU,Y,T,2241.0
2017-12-06,2017-09-30,MU,Y,T,3918.0
2017-12-06,2017-11-06,MU,Y,T,3877.0
2017-12-06,2017-11-10,MU,Y,T,3963.0
2017-12-06,2017-11-22,MU,Y,T,2959.0
2017-12-06,2017-11-25,MU,Y,T,6489.0
2017-12-06,2017-11-28,MU,Y,T,6808.0
2017-12-06,2017-12-01,MU,Y,T,8770.0
2017-12-06,2017-11-24,MU,Y,V,6652.0
2017-12-06,2017-11-27,MU,Y,V,5822.0
2017-12-06,2017-11-03,MU,Y,Z,4794.0
2017-12-06,2017-10-12,UA,C,P,24475.0
2017-12-06,2017-11-07,UA,C,P,15872.0
2017-12-06,2017-11-14,UA,C,P,24025.0
2017-12-06,2017-11-15,UA,C,P,19749.0
2017-12-06,2017-11-29,UA,C,P,18629.0
2017-12-06,2017-10-27,UA,Y,G,2472.0
2017-12-06,2017-11-06,UA,Y,G,2441.0
2017-12-06,2017-11-07,UA,Y,G,2431.0
2017-12-06,2017-11-08,UA,Y,G,3536.0
2017-12-06,2017-11-14,UA,Y,G,2362.0
2017-12-06,2017-11-16,UA,Y,G,3692.0
2017-12-06,2017-11-17,UA,Y,G,4162.0
2017-12-06,2017-11-21,UA,Y,G,3588.0
2017-12-06,2017-11-23,UA,Y,G,3619.0
2017-12-06,2017-11-27,UA,Y,G,2067.0
2017-12-06,2017-11-29,UA,Y,G,4259.0
2017-12-06,2017-12-01,UA,Y,G,2490.0
2017-12-06,2017-12-02,UA,Y,G,2461.0
2017-12-06,2017-12-03,UA,Y,G,5186.0
2017-12-06,2017-12-06,UA,Y,G,2778.0
2017-12-06,2017-12-06,UA,Y,K,2697.0
2017-12-06,2017-11-26,UA,Y,Q,5047.0
2017-12-07,2017-12-01,AA,Y,N,2489.0
2017-12-07,2017-10-02,AA,Y,O,3458.0
2017-12-07,2017-11-27,AA,Y,O,3766.0
2017-12-07,2017-11-28,AA,Y,O,3878.0
2017-12-07,2017-12-05,AA,Y,O,3648.0
2017-12-07,2017-12-07,AA,Y,O,4186.0
2017-12-07,2017-11-01,AA,Y,Q,4785.0
2017-12-07,2017-11-06,AA,Y,Q,5197.0
2017-12-07,2017-11-19,AA,Y,Q,3966.0
2017-12-07,2017-11-21,AA,Y,Q,3966.0
2017-12-07,2017-12-03,AA,Y,Q,4664.0
2017-12-07,2017-11-17,AA,Y,V,2351.0
2017-12-07,2017-10-16,DL,C,Z,18583.0
2017-12-07,2017-10-25,DL,Y,T,3416.0
2017-12-07,2017-11-20,DL,Y,T,2316.0
2017-12-07,2017-11-29,DL,Y,U,3572.0
2017-12-07,2017-08-09,DL,Y,V,8302.0
2017-12-07,2017-09-05,DL,Y,V,3467.0
2017-12-07,2017-10-31,DL,Y,V,3431.0
2017-12-07,2017-11-28,DL,Y,V,4476.0
2017-12-07,2017-12-01,DL,Y,V,12259.0
2017-12-07,2017-11-09,DL,Y,X,2165.0
2017-12-07,2017-12-06,DL,Y,X,2207.0
2017-12-07,2017-11-07,MU,C,I,23893.0
2017-12-07,2017-11-11,MU,C,I,0.0
2017-12-07,2017-11-14,MU,C,I,9914.0
2017-12-07,2017-11-15,MU,C,I,14171.0
2017-12-07,2017-11-18,MU,C,I,13418.0
2017-12-07,2017-12-05,MU,C,I,16668.0
2017-12-07,2017-12-06,MU,Y,S,3698.0
2017-12-07,2017-09-28,MU,Y,T,7275.0
2017-12-07,2017-10-20,MU,Y,T,5142.0
2017-12-07,2017-10-22,MU,Y,T,3510.0
2017-12-07,2017-10-30,MU,Y,T,4913.5
2017-12-07,2017-10-31,MU,Y,T,6013.0
2017-12-07,2017-11-17,MU,Y,T,3833.0
2017-12-07,2017-11-24,MU,Y,T,4921.5
2017-12-07,2017-11-26,MU,Y,T,3849.0
2017-12-07,2017-12-02,MU,Y,T,3305.0
2017-12-07,2017-11-07,UA,C,P,16177.0
2017-12-07,2017-08-25,UA,Y,G,3577.0
2017-12-07,2017-10-14,UA,Y,G,2365.0
2017-12-07,2017-11-04,UA,Y,G,3528.0
2017-12-07,2017-11-22,UA,Y,G,3634.0
2017-12-07,2017-11-24,UA,Y,G,3719.0
2017-12-07,2017-11-25,UA,Y,G,3692.0
2017-12-07,2017-12-04,UA,Y,G,3897.0
2017-12-08,2017-11-30,AA,Y,N,2570.0
2017-12-08,2017-12-07,AA,Y,N,4294.0
2017-12-08,2017-02-07,AA,Y,O,3696.0
2017-12-08,2017-09-29,AA,Y,O,4078.5
2017-12-08,2017-10-20,AA,Y,O,3565.0
2017-12-08,2017-10-25,AA,Y,O,3562.0
2017-12-08,2017-10-29,AA,Y,O,3769.0
2017-12-08,2017-11-05,AA,Y,O,4124.0
2017-12-08,2017-11-06,AA,Y,O,5096.0
2017-12-08,2017-11-14,AA,Y,O,5213.0
2017-12-08,2017-11-15,AA,Y,O,4201.0
2017-12-08,2017-12-02,AA,Y,O,2271.0
2017-12-08,2017-12-06,AA,Y,O,6228.5
2017-12-08,2017-12-01,AA,Y,Q,2240.0
2017-12-08,2017-10-16,AA,Y,S,2411.0
2017-12-08,2017-11-16,DL,C,C,47727.0
2017-12-08,2017-10-12,DL,C,I,14178.0
2017-12-08,2017-09-05,DL,C,Z,13537.0
2017-12-08,2017-11-29,DL,C,Z,19977.0
2017-12-08,2017-11-03,DL,Y,T,3400.0
2017-12-08,2017-11-08,DL,Y,T,2886.0
2017-12-08,2017-11-26,DL,Y,T,3269.0
2017-12-08,2017-09-04,DL,Y,U,3739.0
